,State,homelessnessPercentage2010,homelessnessPercentage2011,homelessnessPercentage2012,homelessnessPercentage2013,homelessnessPercentage2014,homelessnessPercentage2015,homelessnessPercentage2016,homelessnessPercentage2017
24,Missouri,0.13714233997049127,0.15092845598292218,0.1711182427558913,0.14284568038724313,0.12080139666454107,0.10722116872066388,0.10221710788294575,0.09936957845703093
25,Montana,0.16585553212924614,0.17988429614164464,0.18500481941087116,0.18807195204265367,0.17339547085068116,0.16842433076212748,0.13855896719826538,0.1484664935690413
26,Nebraska,0.2154936427430001,0.19569115435167378,0.2073544332476334,0.17077309441390076,0.16307244436756077,0.1467878129739243,0.1463913262341868,0.13205408250924933
27,Nevada,0.42550670614518266,0.34226130360036444,0.314214460151675,0.25783259452335583,0.3107636776574604,0.31240218449273144,0.26056892643348134,0.2712515907851336
28,New Hampshire,0.11979247133999371,0.11163368951243663,0.11355062794408087,0.10969010082847484,0.10415807198564193,0.1091224066437044,0.10289995578164418,0.10932178446789724
29,New Jersey,0.15750591894103555,0.16150915839299246,0.14811423570552637,0.13588596357549687,0.13151350168473855,0.113404443392282,0.09977055576293574,0.09526614532930826
30,New Mexico,0.17261745686550542,0.17676777593641269,0.15788549239108698,0.1362029196417269,0.13201383597304917,0.12614454946627277,0.10865864907001543,0.11905058834589713
31,New York,0.34116924648846225,0.3286888792551079,0.35862228952540515,0.3973407369498097,0.41129245041805457,0.44858038667273514,0.4383916157298884,0.4520758120373197
32,North Carolina,0.13149353836157607,0.13691858440453156,0.1416978957694838,0.12607523483688343,0.11785151488579193,0.1085285789723923,0.09615899198738777,0.08915138466166442
33,North Dakota,0.12108665803854768,0.09043421922874459,0.10173707177639137,0.29995027407249547,0.17845870128027802,0.18083809101491047,0.1253800114648678,0.14608135752372647
34,Ohio,0.10917763589636281,0.11305331049245779,0.12118546908452645,0.10671374481691558,0.10227172463188926,0.09659659828280584,0.08979073941948958,0.08695273182313219
35,Oklahoma,0.14227259036513365,0.12451137697468313,0.13422228031170938,0.1164368834431929,0.1097450515875063,0.09811070014465939,0.1059709891838376,0.10777026428738805
36,Oregon,0.5181389846953355,0.45381485647914477,0.41254977026701567,0.3572756991264038,0.31187000733012454,0.3357506397819068,0.3324237174453647,0.3466474473973119
37,Pennsylvania,0.11509029982069666,0.11923474609183557,0.11603525121954734,0.11849460792980746,0.12017654736612088,0.1206692656608886,0.11998613576979997,0.1105351196063017
38,Rhode Island,0.12135681079602305,0.10152197571252772,0.12133350942686308,0.13159708850950133,0.11298340757957259,0.10544188311041218,0.11000568046574129,0.11172782344731466
39,South Carolina,0.09914820761851903,0.11130138483136735,0.10614746052729049,0.1398409522861132,0.10697499382836574,0.11206519791626549,0.10447596029044771,0.08002543811679463
40,South Dakota,0.09143649104022455,0.10226607254948329,0.10528625236097373,0.13257424278779154,0.10602510099340129,0.12286673229046834,0.12596086283191038,0.11023515273939616
41,Tennessee,0.1648123935840569,0.14469693589590713,0.14836557049914484,0.14881949497898206,0.1459381076717873,0.14036215991254866,0.13407128792889564,0.12594391622978876
42,Texas,0.14446017383016402,0.1489897529230727,0.13507929363192686,0.11550594470465406,0.10920958133082233,0.08922093670754622,0.0857754372935442,0.08588013572183298
43,Utah,0.12358706565769845,0.11526936018876187,0.12750191325170368,0.11646698105998814,0.10779847248759758,0.10418894674102142,0.09520330671235883,0.09525905821123395
44,Vermont,0.19543201689045234,0.18305230111463489,0.18545223166181185,0.23230399550090747,0.24889919183597878,0.24305622051566858,0.1783635582651629,0.19611421691993416
45,Virginia,0.11579042137766628,0.11122617266904461,0.10510352210336801,0.09412821410817128,0.08576527364070288,0.08479246375337153,0.07542446416802472,0.07252013877201303
46,Washington,0.34868106107679625,0.3072219479034909,0.3042717052541479,0.26042663337428895,0.26730933772307003,0.27799155503485523,0.2944517192208389,0.2944504486561793
47,West Virginia,0.12298987071939296,0.1197483497366728,0.13023640880398124,0.12084468275303609,0.10858302124030614,0.09911311317799311,0.07513168357806653,0.07126357560226977
48,Wisconsin,0.1123281222757149,0.10212019891637847,0.10597446660661389,0.10695878704810394,0.10576988246703926,0.10548374406164136,0.09878713379687697,0.08722558945810993
49,Wyoming,0.10612578563324467,0.18712918944937507,0.32213758633127404,0.16715368667716712,0.13159472995266414,0.13766239591222038,0.14699097300477335,0.14969135802469136
